Id,Sondeo,Distancia,Potencia,Litologia,Densidad,Desde,Hasta,Este,Norte,Elevacion,Au(ppb),Cu(ppm),Ag(ppm),As(ppm)
1,PT101,50,3,SD,0,28,30,989.35,1050.59,214.92,25,50,0,110
1,PT101,50,3,MB,0,42,44,985.5,1050.1,201.47,16,29,0,91
1,PT101,50,3,MB,0,44,46,984.99,1050.04,199.53,18,215,0,46100
1,PT101,50,3,SD,0,46,48,984.47,1049.98,197.6,1267,16200,12,6830
1,PT101,50,3,MB,0,48,50,983.96,1049.91,195.67,91,2540,2,1980
1,PT101,50,3,MB,0,58,60,981.38,1049.59,186.01,12,43,0,232
1,PT101,50,3,MB,0,60,62,980.88,1049.53,184.08,26,32,0,37
1,PT101,50,3,MB,0,62,64,980.4,1049.47,182.14,4,13,0,29
1,PT101,50,3,MB,0,64,66,979.91,1049.41,180.2,2,48,0,67
1,PT101,50,3,MB,0,66,68,979.43,1049.35,178.26,5,28,0,120
1,PT101,50,3,MB,0,88,90,974.14,1048.7,156.91,202.5,806,28,16680.5
1,PT101,50,3,MB,0,99.7,101.7,971.37,1048.37,145.55,3778.36,5476.73,16.94,152.82
1,PT101,50,3,S,0,101.7,103.7,970.89,1048.31,143.61,5898.33,12422.49,24.92,309.8
1,PT101,50,3,S,0,103.7,105.7,970.42,1048.26,141.67,2170.71,6736.16,9.08,590.2
1,PT101,50,3,S,0,105.7,107.7,969.95,1048.2,139.72,479.47,352.87,1.26,5017.81
1,PT101,50,3,S,0,107.7,109.7,969.48,1048.15,137.78,763.32,268.65,0.66,4712.62
1,PT101,50,3,S,0,109.7,111.7,969.01,1048.09,135.84,1122.6,168.6,0.74,798.6
1,PT101,50,3,S,0,111.7,113.7,968.54,1048.04,133.89,383.1,55.7,0.55,3540.14
1,PT101,50,3,S,0,113.7,115.7,968.08,1047.99,131.95,119.6,44.8,0.44,4964.01
1,PT101,50,3,S,0,115.7,117.7,967.61,1047.93,130,112.05,167.05,0.48,2145.51
1,PT101,50,3,GR,0,117.7,119.7,967.15,1047.88,128.06,29.6,139.9,0.33,534.95
1,PT101,50,3,GR,0,119.7,121.7,966.68,1047.83,126.12,1041.05,6.7,0.41,2521.04
1,PT101,50,3,GR,0,121.7,123.7,966.22,1047.78,124.17,1904.4,7.3,0.56,4574.51
2,PT102,50,3,MB,0,4,6,961.74,1121.68,261.09,217,1130,2.4,802
2,PT102,50,3,MS,0,6,8,961.16,1121.47,259.18,128.68,3093.63,2.54,5701.45
2,PT102,50,3,MS,0,8,10,960.59,1121.26,257.28,221,551.7,0.93,643.8
2,PT102,50,3,SD,0,10,12,960.01,1121.05,255.38,262.6,2107,2.51,6618.2
2,PT102,50,3,MB,0,12,14,959.43,1120.84,253.47,84.5,928.4,1.52,2945.2
2,PT102,50,3,MB,0,36,38,952.59,1118.33,230.61,329.5,295.3,0.78,15801.87
2,PT102,50,3,MB,0,38,40,952.02,1118.12,228.7,292.5,315.65,0.78,12164.77
2,PT102,50,3,MB,0,40,42,951.46,1117.92,226.79,95.65,891.45,1.14,765.8
2,PT102,50,3,S,0,42,44,950.89,1117.71,224.88,486.53,12358.03,8.32,12400.28
2,PT102,50,3,S,0,44,46,950.32,1117.51,222.98,140.18,744.38,0.89,802.93
2,PT102,50,3,S,0,46,48,949.76,1117.31,221.07,81.45,237.95,0.35,402.35
2,PT102,50,3,SD,0,48,50,949.19,1117.11,219.16,13.67,43.67,0.08,67.08
2,PT102,50,3,SD,0,50,52,948.63,1116.91,217.25,13.2,44.05,0.2,27.33
2,PT102,50,3,MB,0,52,54,948.06,1116.71,215.35,6.55,38.12,0.16,18.03
2,PT102,50,3,MB,0,54,56,947.5,1116.51,213.44,9.15,39.3,0.14,14
2,PT102,50,3,MB,0,56,58,946.93,1116.3,211.53,7.58,39.55,0.28,12.73
2,PT102,50,3,MB,0,69.5,71.5,943.12,1114.95,198.65,20,18,1.5,1960
2,PT102,50,3,S,0,71.5,73.5,942.56,1114.75,196.74,1822.17,169.42,3.33,37753.64
2,PT102,50,3,S,0,73.5,75.5,942,1114.55,194.83,184.85,69.1,0.09,3969
2,PT102,50,3,S,0,75.5,77.5,941.43,1114.36,192.92,117.65,18.15,0,3083.2
2,PT102,50,3,S,0,77.5,79.5,940.87,1114.16,191.02,1201.25,2732.5,20.03,1431.5
2,PT102,50,3,S,0,79.5,81.5,940.31,1113.96,189.11,99,790,0.8,3020
2,PT102,50,3,S,0,81.5,83.5,939.75,1113.76,187.2,149,198,0.4,2620
2,PT102,50,3,S,0,83.5,85.5,939.19,1113.57,185.29,103,16,0,2010
2,PT102,50,3,S,0,85.5,87.5,938.63,1113.37,183.38,38,8,0,61
2,PT102,50,3,S,0,87.5,89.5,938.07,1113.17,181.46,124,19,0,173
2,PT102,50,3,S,0,89.5,91.5,937.51,1112.98,179.55,322.45,63.05,0.39,156.13
2,PT102,50,3,S,0,91.5,93.5,936.96,1112.78,177.64,801.06,234.45,28.97,625.2
2,PT102,50,3,S,0,93.5,95.5,936.4,1112.59,175.73,394.95,33.75,0.62,6718.76
2,PT102,50,3,S,0,95.5,97.5,935.84,1112.39,173.82,479.38,20.9,0.29,9158
2,PT102,50,3,ESK,0,97.5,99.5,935.28,1112.19,171.91,644.15,54.7,0,4367.49
2,PT102,50,3,ESK,0,99.5,101.5,934.73,1112,170,1690.15,140,0.13,30898.57
2,PT102,50,3,ESK,0,101.5,103.5,934.18,1111.81,168.09,1093.15,143.8,0.27,33074.97
2,PT102,50,3,GR,0,103.5,105.5,933.63,1111.62,166.17,892,332.8,0.78,54399.93
2,PT102,50,3,GR,0,105.5,107.5,933.08,1111.43,164.26,6134.18,88.85,0.85,40399.97
2,PT102,50,3,GR,0,107.5,109.5,932.53,1111.24,162.35,1481.17,5.52,0.72,6144.45
2,PT102,50,3,GR,0,109.5,111.5,931.98,1111.04,160.43,1063.65,5.83,0.2,3033.53
2,PT102,50,3,GR,0,111.5,113.5,931.44,1110.85,158.52,409.35,7.45,0.21,1273.47
3,PT103,50,3,SD,0,3.1,5.1,957.12,1175.48,269.07,20.6,80.5,2,104.75
3,PT103,50,3,MB,0,9.5,11.5,954.82,1173.09,263.6,21,46,0.15,26
3,PT103,50,3,MB,0,11.5,13.5,954.1,1172.34,261.89,50.25,278.5,0.3,1779.5
3,PT103,50,3,SD,0,13.5,15.5,953.38,1171.59,260.18,331.22,312.38,0.36,18061.76
3,PT103,50,3,MB,0,15.5,17.5,952.66,1170.84,258.47,120.42,83.22,0.78,1394
3,PT103,50,3,MB,0,17.5,19.5,951.94,1170.09,256.76,125.7,96.58,0.93,2180
3,PT103,50,3,MB,0,19.5,21.5,951.22,1169.34,255.05,40.6,133.4,0.18,3894
3,PT103,50,3,MB,0,21.5,23.5,950.5,1168.59,253.34,23.1,106.4,0.17,1197.7
3,PT103,50,3,H,0,23.5,25.5,949.79,1167.84,251.63,23.63,105.25,0.39,31.63
3,PT103,50,3,H,0,25.5,27.5,949.07,1167.1,249.92,22,110.63,0.38,19.38
3,PT103,50,3,H,0,27.5,29.5,948.35,1166.35,248.21,6.63,295.27,0.3,6.77
3,PT103,50,3,MB,0,29.5,31.5,947.64,1165.6,246.5,1,41,0.2,1
3,PT103,50,3,MB,0,31.5,33.5,946.92,1164.85,244.79,8,110,0.2,7
3,PT103,50,3,MB,0,33.5,35.5,946.2,1164.1,243.08,5,37,0.4,1
3,PT103,50,3,MB,0,35.5,37.5,945.48,1163.35,241.37,9,43,0.3,15
3,PT103,50,3,MB,0,37.5,39.5,944.77,1162.61,239.66,15.3,142.85,0.2,1202.8
3,PT103,50,3,MB,0,39.5,41.6,944.04,1161.84,237.91,44.14,503.9,0.15,2977.86
3,PT103,50,3,MB,0,41.6,43.55,943.32,1161.08,236.17,12,29,0.3,26
3,PT103,50,3,MB,0,43.55,45.55,942.63,1160.34,234.47,2113.35,2340.3,2.39,23610.18
3,PT103,50,3,S,0,45.55,47.55,941.92,1159.6,232.76,5255.23,23892.28,18.87,26839.03
3,PT103,50,3,H,0,47.55,49.55,941.22,1158.85,231.04,2036,11265,9.8,29205
3,PT103,50,3,S,0,49.55,51.55,940.52,1158.1,229.32,1786,25800,22.35,33750
3,PT103,50,3,S,0,51.55,53.55,939.81,1157.35,227.61,1403.8,22317.52,19.27,8181.01
3,PT103,50,3,GR,0,53.55,55.55,939.11,1156.61,225.89,530.47,2971.9,2.87,8583.5
3,PT103,50,3,GR,0,55.55,57.55,938.41,1155.86,224.17,293.75,48.13,0.45,4076.5
3,PT103,50,3,GR,0,57.55,59.55,937.7,1155.11,222.46,124.08,46.77,0.34,2175.18
3,PT103,50,3,GR,0,59.55,61.55,937,1154.36,220.74,97.95,30.48,0.2,683.33
3,PT103,50,3,GR,0,61.55,63.55,936.3,1153.62,219.02,129.65,11.53,0.3,569.23
3,PT103,50,3,GR,0,63.55,65.55,935.59,1152.87,217.31,120.47,104.4,0.98,1530.03
3,PT103,50,3,GR,0,65.55,67.55,934.89,1152.12,215.59,223.33,101.9,1.03,3188.25
3,PT103,50,3,GR,0,67.55,69.55,934.18,1151.37,213.88,216.92,29.78,0.28,3079.75
3,PT103,50,3,GR,0,69.55,71.55,933.48,1150.62,212.16,348.3,18.7,0.2,18329.74
3,PT103,50,3,GR,0,71.55,73.55,932.77,1149.87,210.45,294.2,9.8,0,851.6
3,PT103,50,3,GR,0,73.55,75.55,932.07,1149.12,208.73,322.8,24,0,544
3,PT103,50,3,GR,0,75.55,77.5,931.37,1148.38,207.04,170.26,284.97,10.72,3205.9
3,PT103,50,3,GR,0,77.5,79.5,930.68,1147.64,205.34,111,21,0.28,1806.61
3,PT103,50,3,GR,0,79.5,81.5,929.97,1146.89,203.63,267,10.2,0.14,838
3,PT103,50,3,GR,0,81.5,83.5,929.27,1146.14,201.91,225.75,9.75,0,1238.75
3,PT103,50,3,GR,0,83.5,85.5,928.57,1145.39,200.2,422.25,8.75,0,1093.5
3,PT103,50,3,GR,0,85.5,87.5,927.86,1144.63,198.49,143,7.25,0,282
3,PT103,50,3,GR,0,87.5,89.5,927.16,1143.88,196.78,77.75,91,5.1,2320
3,PT103,50,3,GR,0,89.5,91.5,926.46,1143.12,195.06,171.05,46.85,2.77,2504.5
3,PT103,50,3,GR,0,91.5,93.5,925.76,1142.36,193.35,922.84,388.45,46.66,13442.62
3,PT103,50,3,GR,0,93.5,95.5,925.06,1141.59,191.64,190,13,0.11,620.2
3,PT103,50,3,GR,0,95.5,97.5,924.36,1140.83,189.93,225.45,10.3,0.18,820.5
3,PT103,50,3,GR,0,97.5,99.5,923.66,1140.07,188.22,86.35,20.05,3.64,964.4
4,PT104,50,3,MB,0,34,36,997.7,1051.09,207.77,4,50,0.4,205
4,PT104,50,3,MB,0,36,38,997.65,1051.02,205.77,25,65,0.9,346
4,PT104,50,3,SD,0,38,40,997.61,1050.96,203.77,45,13,0.2,4330
4,PT104,50,3,SD,0,40,42,997.55,1050.9,201.78,15,18,0.3,1410
4,PT104,50,3,MB,0,42,44,997.49,1050.83,199.78,22,66,3.1,462
4,PT104,50,3,MB,0,44,46,997.43,1050.76,197.78,6,24,0.2,29
4,PT104,50,3,MB,0,46,48,997.37,1050.69,195.78,5,9,0.2,49
4,PT104,50,3,MB,0,48,50,997.31,1050.63,193.79,17,8,0.1,242
4,PT104,50,3,MB,0,50,52,997.25,1050.56,191.79,23,38,0.3,218
4,PT104,50,3,MB,0,52,54,997.18,1050.49,189.79,26,42,0.3,159
4,PT104,50,3,MB,0,54,56,997.12,1050.42,187.79,14,29,0.4,99
4,PT104,50,3,MB,0,56,58,997.06,1050.36,185.79,3,13,0.2,10
4,PT104,50,3,MB,0,58,60,997,1050.29,183.8,12,18,0.2,39
4,PT104,50,3,SD,0,60,62,996.94,1050.22,181.8,25,104,0.6,48
4,PT104,50,3,SD,0,62,64,996.88,1050.16,179.8,42,103,0.6,43
4,PT104,50,3,MB,0,64,66,996.82,1050.1,177.8,12,1100,1.1,228
4,PT104,50,3,MB,0,66,68,996.76,1050.04,175.8,14,1710,1.7,326
4,PT104,50,3,MB,0,68,70,996.7,1049.98,173.8,11,360,0.6,369
4,PT104,50,3,MB,0,70,72,996.64,1049.92,171.81,3,306,0.6,361
